cui,Disease Name,cui,Disease Name,MeSH Disease Class,UMLS Semantic Type,cui,Disease Name,gene,Symbol,gene,Symbol,Uniprot,Gene Name,Pathway,Panther Protein Class,gene,Symbol,Score,Score,Disease,# Of PMIDs,Gene,Disease,Gene,# Of PMIDs,Disease,# Of PMIDs,# Of PMIDs,Gene
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,3630,INS,3630,INS,P01308,insulin,Developmental Biology; Metabolism of proteins; Signal Transduction; Metabolism,signaling molecule,3630,INS,0.06,0.06,umls:C0011847,1315,3630,umls:C0011847,3630,1315,umls:C0011847,1315,1315,3630
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,723961,INS-IGF2,723961,INS-IGF2,F8WCM5,INS-IGF2 readthrough,null,signaling molecule,723961,INS-IGF2,0.06,0.06,umls:C0011847,1221,723961,umls:C0011847,723961,1221,umls:C0011847,1221,1221,723961
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,6927,HNF1A,6927,HNF1A,P20823,HNF1 homeobox A,Developmental Biology,nucleic acid binding; transcription factor,6927,HNF1A,0.03133259559,0.03133259559,umls:C0011847,88,6927,umls:C0011847,6927,88,umls:C0011847,88,88,6927
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,3172,HNF4A,3172,HNF4A,P41235,"hepatocyte nuclear factor 4, alpha",null,nucleic acid binding; receptor; transcription factor,3172,HNF4A,0.02579891588,0.02579891588,umls:C0011847,91,3172,umls:C0011847,3172,91,umls:C0011847,91,91,3172
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,2645,GCK,2645,GCK,P35557,glucokinase (hexokinase 4),Developmental Biology; Transmembrane transport of small molecules; Metabolism,kinase; transferase,2645,GCK,0.02551541131,0.02551541131,umls:C0011847,90,2645,umls:C0011847,2645,90,umls:C0011847,90,90,2645
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,1822,ATN1,1822,ATN1,P54259,atrophin 1,null,null,1822,ATN1,0.02069583362,0.02069583362,umls:C0011847,73,1822,umls:C0011847,1822,73,umls:C0011847,73,73,1822
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,3767,KCNJ11,3767,KCNJ11,Q14654,"potassium channel, inwardly rectifying subfamily J, member 11",Neuronal System; Metabolism,null,3767,KCNJ11,0.01904383715,0.01904383715,umls:C0011847,60,3767,umls:C0011847,3767,60,umls:C0011847,60,60,3767
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,1636,ACE,1636,ACE,P12821,angiotensin I converting enzyme,Metabolism of proteins,null,1636,ACE,0.01786078792,0.01786078792,umls:C0011847,63,1636,umls:C0011847,1636,63,umls:C0011847,63,63,1636
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,6934,TCF7L2,6934,TCF7L2,Q9NQB0,"transcription factor 7-like 2 (T-cell specific, HMG-box)",Metabolism of proteins; Signal Transduction,nucleic acid binding,6934,TCF7L2,0.01757728335,0.01757728335,umls:C0011847,62,6934,umls:C0011847,6934,62,umls:C0011847,62,62,6934
C0011847,Diabetes,C0011847,Diabetes,Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,C0011847,Diabetes,5468,PPARG,5468,PPARG,P37231,peroxisome proliferator-activated receptor gamma,Developmental Biology; Gene Expression; Metabolism,nucleic acid binding; receptor; transcription factor,5468,PPARG,0.01644326507,0.01644326507,umls:C0011847,58,5468,umls:C0011847,5468,58,umls:C0011847,58,58,5468
