cui	Disease Name	cui	Disease Name	MeSH Disease Class	UMLS Semantic Type	cui	Disease Name	gene	Symbol	gene	Symbol	Uniprot	Gene Name	Pathway	Panther Protein Class	gene	Symbol	Score	Score	Disease	# Of PMIDs	Gene	Disease	Gene	# Of PMIDs	Disease	# Of PMIDs	# Of PMIDs	Gene
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3667	IRS1	3667	IRS1	P35568	insulin receptor substrate 1	Immune System; Signal Transduction	null	3667	IRS1	0.907216438728992	0.907216438728992	umls:C0011860	112	3667	umls:C0011860	3667	112	umls:C0011860	112	112	3667
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3172	HNF4A	3172	HNF4A	P41235	hepatocyte nuclear factor 4, alpha	null	nucleic acid binding; receptor; transcription factor	3172	HNF4A	0.724961370380439	0.724961370380439	umls:C0011860	141	3172	umls:C0011860	3172	141	umls:C0011860	141	141	3172
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	208	AKT2	208	AKT2	P31751	v-akt murine thymoma viral oncogene homolog 2	null	calcium-binding protein; kinase; transfer/carrier protein; transferase	208	AKT2	0.720850513710281	0.720850513710281	umls:C0011860	3	208	umls:C0011860	208	3	umls:C0011860	3	3	208
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6928	HNF1B	6928	HNF1B	P35680	HNF1 homeobox B	Developmental Biology	nucleic acid binding; transcription factor	6928	HNF1B	0.691781039215895	0.691781039215895	umls:C0011860	40	6928	umls:C0011860	6928	40	umls:C0011860	40	40	6928
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6934	TCF7L2	6934	TCF7L2	Q9NQB0	transcription factor 7-like 2 (T-cell specific, HMG-box)	Metabolism of proteins; Signal Transduction	nucleic acid binding	6934	TCF7L2	0.647658039453105	0.647658039453105	umls:C0011860	305	6934	umls:C0011860	6934	305	umls:C0011860	305	305	6934
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	9479	MAPK8IP1	9479	MAPK8IP1	Q9UQF2	mitogen-activated protein kinase 8 interacting protein 1	null	enzyme modulator; signaling molecule	9479	MAPK8IP1	0.620283504570094	0.620283504570094	umls:C0011860	1	9479	umls:C0011860	9479	1	umls:C0011860	1	1	9479
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	11132	CAPN10	11132	CAPN10	Q9HC96	calpain 10	null	calcium-binding protein; hydrolase; protease	11132	CAPN10	0.616008496462472	0.616008496462472	umls:C0011860	115	11132	umls:C0011860	11132	115	umls:C0011860	115	115	11132
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3569	IL6	3569	IL6	P05231	interleukin 6	Developmental Biology; Immune System; Cellular responses to stress; Signal Transduction	signaling molecule	3569	IL6	0.59290594204536	0.59290594204536	umls:C0011860	76	3569	umls:C0011860	3569	76	umls:C0011860	76	76	3569
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3643	INSR	3643	INSR	P06213	insulin receptor	Signal Transduction	null	3643	INSR	0.590225487103891	0.590225487103891	umls:C0011860	106	3643	umls:C0011860	3643	106	umls:C0011860	106	106	3643
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6514	SLC2A2	6514	SLC2A2	P11168	solute carrier family 2 (facilitated glucose transporter), member 2	Developmental Biology; Transmembrane transport of small molecules; Metabolism	transporter	6514	SLC2A2	0.558149825435698	0.558149825435698	umls:C0011860	30	6514	umls:C0011860	6514	30	umls:C0011860	30	30	6514
