cui	Disease Name	cui	Disease Name	MeSH Disease Class	UMLS Semantic Type	cui	Disease Name	gene	Symbol	gene	Symbol	Uniprot	Gene Name	Pathway	Panther Protein Class	gene	Symbol	Score	Disease	Score	Gene	Score	Disease	Gene	Score	Disease	Gene	Score	# Of PMIDs
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3667	IRS1	3667	IRS1	P35568	insulin receptor substrate 1	Immune System; Signal Transduction	null	3667	IRS1	0.907216438728992	umls:C0011860	0.907216438728992	3667	0.907216438728992	umls:C0011860	3667	0.907216438728992	umls:C0011860	3667	0.907216438728992	112
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3172	HNF4A	3172	HNF4A	P41235	hepatocyte nuclear factor 4, alpha	null	nucleic acid binding; receptor; transcription factor	3172	HNF4A	0.724961370380439	umls:C0011860	0.724961370380439	3172	0.724961370380439	umls:C0011860	3172	0.724961370380439	umls:C0011860	3172	0.724961370380439	141
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	208	AKT2	208	AKT2	P31751	v-akt murine thymoma viral oncogene homolog 2	null	calcium-binding protein; kinase; transfer/carrier protein; transferase	208	AKT2	0.720850513710281	umls:C0011860	0.720850513710281	208	0.720850513710281	umls:C0011860	208	0.720850513710281	umls:C0011860	208	0.720850513710281	3
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6928	HNF1B	6928	HNF1B	P35680	HNF1 homeobox B	Developmental Biology	nucleic acid binding; transcription factor	6928	HNF1B	0.691781039215895	umls:C0011860	0.691781039215895	6928	0.691781039215895	umls:C0011860	6928	0.691781039215895	umls:C0011860	6928	0.691781039215895	40
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6934	TCF7L2	6934	TCF7L2	Q9NQB0	transcription factor 7-like 2 (T-cell specific, HMG-box)	Metabolism of proteins; Signal Transduction	nucleic acid binding	6934	TCF7L2	0.647658039453105	umls:C0011860	0.647658039453105	6934	0.647658039453105	umls:C0011860	6934	0.647658039453105	umls:C0011860	6934	0.647658039453105	305
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	9479	MAPK8IP1	9479	MAPK8IP1	Q9UQF2	mitogen-activated protein kinase 8 interacting protein 1	null	enzyme modulator; signaling molecule	9479	MAPK8IP1	0.620283504570094	umls:C0011860	0.620283504570094	9479	0.620283504570094	umls:C0011860	9479	0.620283504570094	umls:C0011860	9479	0.620283504570094	1
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	11132	CAPN10	11132	CAPN10	Q9HC96	calpain 10	null	calcium-binding protein; hydrolase; protease	11132	CAPN10	0.616008496462472	umls:C0011860	0.616008496462472	11132	0.616008496462472	umls:C0011860	11132	0.616008496462472	umls:C0011860	11132	0.616008496462472	115
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3569	IL6	3569	IL6	P05231	interleukin 6	Developmental Biology; Immune System; Cellular responses to stress; Signal Transduction	signaling molecule	3569	IL6	0.59290594204536	umls:C0011860	0.59290594204536	3569	0.59290594204536	umls:C0011860	3569	0.59290594204536	umls:C0011860	3569	0.59290594204536	76
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3643	INSR	3643	INSR	P06213	insulin receptor	Signal Transduction	null	3643	INSR	0.590225487103891	umls:C0011860	0.590225487103891	3643	0.590225487103891	umls:C0011860	3643	0.590225487103891	umls:C0011860	3643	0.590225487103891	106
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6514	SLC2A2	6514	SLC2A2	P11168	solute carrier family 2 (facilitated glucose transporter), member 2	Developmental Biology; Transmembrane transport of small molecules; Metabolism	transporter	6514	SLC2A2	0.558149825435698	umls:C0011860	0.558149825435698	6514	0.558149825435698	umls:C0011860	6514	0.558149825435698	umls:C0011860	6514	0.558149825435698	30
