cui	Disease Name	cui	Disease Name	MeSH Disease Class	UMLS Semantic Type	cui	Disease Name	gene	Symbol	gene	Symbol	Uniprot	Gene Name	Pathway	Panther Protein Class	gene	Symbol	Score	Score	Disease	# Of PMIDs	Gene	Disease	Gene	# Of PMIDs	Disease	# Of PMIDs	# Of PMIDs	Gene
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	4160	MC4R	4160	MC4R	P32245	melanocortin 4 receptor	Signal Transduction	receptor	4160	MC4R	0.94	0.94	umls:C0028754	264	4160	umls:C0028754	4160	264	umls:C0028754	264	264	4160
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	3953	LEPR	3953	LEPR	P48357	leptin receptor	Signal Transduction	defense/immunity protein; receptor; signaling molecule	3953	LEPR	0.713376199224331	0.713376199224331	umls:C0028754	173	3953	umls:C0028754	3953	173	umls:C0028754	173	173	3953
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	5468	PPARG	5468	PPARG	P37231	peroxisome proliferator-activated receptor gamma	Developmental Biology; Gene Expression; Metabolism	nucleic acid binding; receptor; transcription factor	5468	PPARG	0.61628858497199	0.61628858497199	umls:C0028754	182	5468	umls:C0028754	5468	182	umls:C0028754	182	182	5468
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	3952	LEP	3952	LEP	P41159	leptin	Developmental Biology; Signal Transduction; Metabolism of proteins	signaling molecule	3952	LEP	0.53	0.53	umls:C0028754	573	3952	umls:C0028754	3952	573	umls:C0028754	573	573	3952
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	155	ADRB3	155	ADRB3	P13945	adrenoceptor beta 3	null	receptor	155	ADRB3	0.494664897598149	0.494664897598149	umls:C0028754	126	155	umls:C0028754	155	126	umls:C0028754	126	126	155
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	154	ADRB2	154	ADRB2	P07550	adrenoceptor beta 2, surface	null	receptor	154	ADRB2	0.484742237644871	0.484742237644871	umls:C0028754	79	154	umls:C0028754	154	79	umls:C0028754	79	79	154
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	7352	UCP3	7352	UCP3	P55916	uncoupling protein 3 (mitochondrial, proton carrier)	Metabolism	calcium-binding protein; transfer/carrier protein; transporter	7352	UCP3	0.482550141840888	0.482550141840888	umls:C0028754	57	7352	umls:C0028754	7352	57	umls:C0028754	57	57	7352
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	5167	ENPP1	5167	ENPP1	P22413	ectonucleotide pyrophosphatase/phosphodiesterase 1	Metabolism	hydrolase; phosphatase	5167	ENPP1	0.450944082373675	0.450944082373675	umls:C0028754	34	5167	umls:C0028754	5167	34	umls:C0028754	34	34	5167
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	9607	CARTPT	9607	CARTPT	Q16568	CART prepropeptide	null	null	9607	CARTPT	0.427304459957209	0.427304459957209	umls:C0028754	14	9607	umls:C0028754	9607	14	umls:C0028754	14	14	9607
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	5697	PYY	5697	PYY	P10082	peptide YY	Signal Transduction	signaling molecule	5697	PYY	0.42640491528833	0.42640491528833	umls:C0028754	18	5697	umls:C0028754	5697	18	umls:C0028754	18	18	5697
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	9370	ADIPOQ	9370	ADIPOQ	Q15848	adiponectin, C1Q and collagen domain containing	Developmental Biology	defense/immunity protein; extracellular matrix protein	9370	ADIPOQ	0.393530879317775	0.393530879317775	umls:C0028754	105	9370	umls:C0028754	9370	105	umls:C0028754	105	105	9370
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	4023	LPL	4023	LPL	P06858	lipoprotein lipase	Developmental Biology; Signal Transduction; Metabolism	hydrolase; storage protein	4023	LPL	0.360163321492467	0.360163321492467	umls:C0028754	51	4023	umls:C0028754	4023	51	umls:C0028754	51	51	4023
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	5443	POMC	5443	POMC	P01189	proopiomelanocortin	Metabolism of proteins; Signal Transduction; Metabolism	signaling molecule	5443	POMC	0.356565142816951	0.356565142816951	umls:C0028754	64	5443	umls:C0028754	5443	64	umls:C0028754	64	64	5443
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	1268	CNR1	1268	CNR1	P21554	cannabinoid receptor 1 (brain)	Signal Transduction	receptor	1268	CNR1	0.342526326006566	0.342526326006566	umls:C0028754	39	1268	umls:C0028754	1268	39	umls:C0028754	39	39	1268
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	4159	MC3R	4159	MC3R	P41968	melanocortin 3 receptor	Signal Transduction	receptor	4159	MC3R	0.340776267627406	0.340776267627406	umls:C0028754	38	4159	umls:C0028754	4159	38	umls:C0028754	38	38	4159
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	2099	ESR1	2099	ESR1	P03372	estrogen receptor 1	Signal Transduction; Gene Expression	nucleic acid binding; receptor; transcription factor	2099	ESR1	0.339407775735536	0.339407775735536	umls:C0028754	30	2099	umls:C0028754	2099	30	umls:C0028754	30	30	2099
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	5122	PCSK1	5122	PCSK1	P29120	proprotein convertase subtilisin/kexin type 1	Metabolism of proteins	hydrolase; protease	5122	PCSK1	0.339358744776938	0.339358744776938	umls:C0028754	34	5122	umls:C0028754	5122	34	umls:C0028754	34	34	5122
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	79068	FTO	79068	FTO	Q9C0B1	fat mass and obesity associated	null	null	79068	FTO	0.33	0.33	umls:C0028754	307	79068	umls:C0028754	79068	307	umls:C0028754	307	307	79068
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	3667	IRS1	3667	IRS1	P35568	insulin receptor substrate 1	Immune System; Signal Transduction	null	3667	IRS1	0.327489902610106	0.327489902610106	umls:C0028754	34	3667	umls:C0028754	3667	34	umls:C0028754	34	34	3667
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	3290	HSD11B1	3290	HSD11B1	P28845	hydroxysteroid (11-beta) dehydrogenase 1	Metabolism	oxidoreductase	3290	HSD11B1	0.327255428998611	0.327255428998611	umls:C0028754	27	3290	umls:C0028754	3290	27	umls:C0028754	27	27	3290
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	2147	F2	2147	F2	P00734	coagulation factor II (thrombin)	Hemostasis; Metabolism of proteins; Signal Transduction	hydrolase; protease	2147	F2	0.324469414256272	0.324469414256272	umls:C0028754	9	2147	umls:C0028754	2147	9	umls:C0028754	9	9	2147
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	23411	SIRT1	23411	SIRT1	Q96EB6	sirtuin 1	Cellular responses to stress; Gene Expression	hydrolase; nucleic acid binding	23411	SIRT1	0.324038816810384	0.324038816810384	umls:C0028754	28	23411	umls:C0028754	23411	28	umls:C0028754	28	28	23411
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	6492	SIM1	6492	SIM1	P81133	single-minded family bHLH transcription factor 1	null	nucleic acid binding; transcription factor	6492	SIM1	0.32063676196926	0.32063676196926	umls:C0028754	13	6492	umls:C0028754	6492	13	umls:C0028754	13	13	6492
C0028754	Obesity	C0028754	Obesity	Nutritional and Metabolic Diseases;Pathological Conditions, Signs and Symptoms	Disease or Syndrome	C0028754	Obesity	181	AGRP	181	AGRP	O00253	agouti related neuropeptide	null	signaling molecule	181	AGRP	0.320353257399167	0.320353257399167	umls:C0028754	15	181	umls:C0028754	181	15	umls:C0028754	15	15	181
