cui	Disease Name	cui	Disease Name	MeSH Disease Class	UMLS Semantic Type	cui	Disease Name	gene	Symbol	gene	Symbol	Uniprot	Gene Name	Pathway	Panther Protein Class	gene	Symbol	Score	Score	Disease	# Of PMIDs	Gene	Disease	Gene	# Of PMIDs	Disease	# Of PMIDs	# Of PMIDs	Gene
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	351	APP	351	APP	P05067	amyloid beta (A4) precursor protein	null	signaling molecule	351	APP	0.852707275405662	0.852707275405662	umls:C0002395	215	351	umls:C0002395	351	215	umls:C0002395	215	215	351
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	348	APOE	348	APOE	P02649	apolipoprotein E	null	null	348	APOE	0.49	0.49	umls:C0002395	1132	348	umls:C0002395	348	1132	umls:C0002395	1132	1132	348
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	5663	PSEN1	5663	PSEN1	P49768	presenilin 1	Extracellular matrix organization	calcium-binding protein; hydrolase; protease; signaling molecule	5663	PSEN1	0.454664897598149	0.454664897598149	umls:C0002395	177	5663	umls:C0002395	5663	177	umls:C0002395	177	177	5663
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	4137	MAPT	4137	MAPT	P10636	microtubule-associated protein tau	null	null	4137	MAPT	0.437135245920984	0.437135245920984	umls:C0002395	118	4137	umls:C0002395	4137	118	umls:C0002395	118	118	4137
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	1636	ACE	1636	ACE	P12821	angiotensin I converting enzyme	Metabolism of proteins	null	1636	ACE	0.396672257563875	0.396672257563875	umls:C0002395	50	1636	umls:C0002395	1636	50	umls:C0002395	50	50	1636
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	3553	IL1B	3553	IL1B	P01584	interleukin 1, beta	Immune System	signaling molecule	3553	IL1B	0.382807609868084	0.382807609868084	umls:C0002395	35	3553	umls:C0002395	3553	35	umls:C0002395	35	35	3553
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	5664	PSEN2	5664	PSEN2	P49810	presenilin 2	Developmental Biology; Signal Transduction	calcium-binding protein; hydrolase; protease; signaling molecule	5664	PSEN2	0.381370997199851	0.381370997199851	umls:C0002395	55	5664	umls:C0002395	5664	55	umls:C0002395	55	55	5664
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	627	BDNF	627	BDNF	P23560	brain-derived neurotrophic factor	null	signaling molecule	627	BDNF	0.380715245531332	0.380715245531332	umls:C0002395	47	627	umls:C0002395	627	47	umls:C0002395	47	47	627
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	5328	PLAU	5328	PLAU	P00749	plasminogen activator, urokinase	Hemostasis	hydrolase; protease	5328	PLAU	0.333992713375002	0.333992713375002	umls:C0002395	6	5328	umls:C0002395	5328	6	umls:C0002395	6	6	5328
C0002395	Alzheimer Disease	C0002395	Alzheimer Disease	Nervous System Diseases;Mental Disorders	Disease or Syndrome	C0002395	Alzheimer Disease	3630	INS	3630	INS	P01308	insulin	Developmental Biology; Metabolism of proteins; Signal Transduction; Metabolism	signaling molecule	3630	INS	0.321976289795017	0.321976289795017	umls:C0002395	22	3630	umls:C0002395	3630	22	umls:C0002395	22	22	3630
